,Date,GLD,SPY,TIP,VNQ
0,2018-12-31,121.25,249.9199981689453,109.51000213623047,74.56999969482422
1,2019-01-02,121.33000183105469,250.17999267578125,109.68000030517578,72.94999694824219
2,2019-01-03,122.43000030517578,244.2100067138672,110.31999969482422,73.45999908447266
3,2019-01-04,121.44000244140625,252.38999938964844,110.08999633789062,74.31999969482422
4,2019-01-07,121.86000061035156,254.3800048828125,110.0199966430664,75.05000305175781
5,2019-01-08,121.52999877929688,256.7699890136719,110.11000061035156,76.5999984741211
6,2019-01-09,122.30999755859375,257.9700012207031,110.23999786376953,76.48999786376953
7,2019-01-10,121.58999633789062,258.8800048828125,109.9800033569336,77.52999877929688
8,2019-01-11,121.80000305175781,258.9800109863281,110.2699966430664,77.75
9,2019-01-14,122.08999633789062,257.3999938964844,110.06999969482422,77.48999786376953
10,2019-01-15,121.87999725341797,260.3500061035156,109.97000122070312,78.2300033569336
11,2019-01-16,122.2699966430664,260.9800109863281,109.95999908447266,78.77999877929688
12,2019-01-17,122.11000061035156,262.9599914550781,109.87000274658203,79.16000366210938
13,2019-01-18,121.0199966430664,266.4599914550781,109.73999786376953,79.43000030517578
14,2019-01-22,121.44999694824219,262.8599853515625,109.80999755859375,79.19000244140625
15,2019-01-23,121.27999877929688,263.4100036621094,109.68000030517578,79.19999694824219
16,2019-01-24,121.08999633789062,263.54998779296875,109.8499984741211,79.47000122070312
17,2019-01-25,122.86000061035156,265.7799987792969,109.68000030517578,80.45999908447266
18,2019-01-28,123.29000091552734,263.760009765625,109.52999877929688,81.25
19,2019-01-29,123.9800033569336,263.4100036621094,109.8499984741211,81.88999938964844
20,2019-01-30,124.69000244140625,267.5799865722656,110.44999694824219,82.55000305175781
21,2019-01-31,124.75,269.92999267578125,111.06999969482422,83.41000366210938
22,2019-02-01,124.5,270.05999755859375,110.68000030517578,82.87999725341797
23,2019-02-04,123.95999908447266,271.9599914550781,110.45999908447266,83.5
24,2019-02-05,124.27999877929688,273.1000061035156,110.61000061035156,83.9800033569336
25,2019-02-06,123.44000244140625,272.739990234375,110.54000091552734,83.43000030517578
26,2019-02-07,123.73999786376953,270.1400146484375,110.70999908447266,84.12000274658203
27,2019-02-08,124.20999908447266,270.4700012207031,110.76000213623047,84.12000274658203
28,2019-02-11,123.5999984741211,270.6199951171875,110.52999877929688,84.3499984741211
29,2019-02-12,123.86000061035156,274.1000061035156,110.55000305175781,83.81999969482422
30,2019-02-13,123.37000274658203,274.989990234375,110.52999877929688,84.25
31,2019-02-14,124.05999755859375,274.3800048828125,110.83999633789062,84.5199966430664
32,2019-02-15,124.80000305175781,277.3699951171875,110.83999633789062,85.08999633789062
33,2019-02-19,126.69999694824219,277.8500061035156,111.0999984741211,85.06999969482422
34,2019-02-20,126.4800033569336,278.4100036621094,111.13999938964844,84.54000091552734
35,2019-02-21,125.05000305175781,277.4200134277344,110.94999694824219,84.62000274658203
36,2019-02-22,125.5,279.1400146484375,111.23999786376953,85.12000274658203
37,2019-02-25,125.37000274658203,279.5199890136719,111.16000366210938,84.44999694824219
38,2019-02-26,125.58000183105469,279.32000732421875,111.31999969482422,84.19000244140625
39,2019-02-27,124.69000244140625,279.20001220703125,111.05999755859375,83.7699966430664
40,2019-02-28,123.98999786376953,278.67999267578125,110.87999725341797,83.98999786376953
41,2019-03-01,121.87999725341797,280.4200134277344,110.66000366210938,83.7300033569336
42,2019-03-04,121.55999755859375,279.3999938964844,110.81999969482422,84.11000061035156
43,2019-03-05,121.72000122070312,279.0199890136719,110.77999877929688,84.33999633789062
44,2019-03-06,121.61000061035156,277.3299865722656,110.91000366210938,83.94999694824219
45,2019-03-07,121.51000213623047,275.010009765625,111.22000122070312,83.7699966430664
46,2019-03-08,122.83999633789062,274.4599914550781,111.31999969482422,83.86000061035156
47,2019-03-11,122.23999786376953,278.44000244140625,111.30000305175781,85.08999633789062
48,2019-03-12,122.9800033569336,279.489990234375,111.51000213623047,85.4800033569336
49,2019-03-13,123.83999633789062,281.3399963378906,111.63999938964844,85.9000015258789
50,2019-03-14,122.41000366210938,281.1600036621094,111.61000061035156,86.02999877929688
51,2019-03-15,122.97000122070312,281.30999755859375,112.0,85.76000213623047
52,2019-03-18,123.04000091552734,282.3299865722656,111.98999786376953,85.33000183105469
53,2019-03-19,123.37999725341797,282.3999938964844,111.88999938964844,85.06999969482422
54,2019-03-20,124.18000030517578,281.54998779296875,112.62999725341797,85.33000183105469
55,2019-03-21,123.68000030517578,284.7300109863281,112.62000274658203,86.8499984741211
56,2019-03-22,123.97000122070312,279.25,112.95999908447266,86.22000122070312
57,2019-03-25,124.91999816894531,279.0400085449219,112.93000030517578,86.33000183105469
58,2019-03-26,124.30000305175781,281.1199951171875,112.7300033569336,87.0199966430664
59,2019-03-27,123.6500015258789,279.6499938964844,112.77999877929688,86.7699966430664
60,2019-03-28,121.9000015258789,280.7099914550781,112.87000274658203,86.98999786376953
61,2019-03-29,122.01000213623047,282.4800109863281,113.06999969482422,86.91000366210938
62,2019-04-01,121.52999877929688,285.8299865722656,112.6500015258789,86.86000061035156
63,2019-04-02,121.9800033569336,285.9700012207031,112.76000213623047,87.47000122070312
64,2019-04-03,121.80000305175781,286.4200134277344,112.41000366210938,87.37000274658203
65,2019-04-04,122.11000061035156,287.17999267578125,112.48999786376953,87.2300033569336
66,2019-04-05,121.9800033569336,288.57000732421875,112.62000274658203,87.83999633789062
67,2019-04-08,122.51000213623047,288.7900085449219,112.51000213623047,87.3499984741211
