,n_neighbours,cosine,hamming,jaccard
0,5,0.48672566371681414,0.3893805309734513,0.45663716814159294
1,10,0.5026548672566372,0.4690265486725664,0.49734513274336284
2,25,0.5433628318584071,0.4902654867256637,0.5734513274336284
3,50,0.5451327433628319,0.5150442477876106,0.5628318584070796
4,75,0.5097345132743363,0.5097345132743363,0.5592920353982301
5,100,0.5415929203539823,0.49911504424778763,0.5380530973451327
6,200,0.4743362831858407,0.5185840707964602,0.479646017699115
7,500,0.42123893805309737,0.4389380530973451,0.4407079646017699
8,700,0.4407079646017699,0.4194690265486726,0.44601769911504424
